"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"10/02/2025","54,20","54,21","0,50","53,80","54,42","129,21M"
"07/02/2025","54,53","53,94","-1,08","53,58","54,04","529,45M"
"06/02/2025","54,36","54,53","0,11","53,69","54,68","512,11M"
"05/02/2025","54,00","54,47","0,76","54,31","54,96","498,03M"
"04/02/2025","54,61","54,06","0,30","53,90","54,61","678,59M"
"03/02/2025","54,61","53,90","-2,76","53,65","53,90","370,79M"
"31/01/2025","56,21","55,43","-1,39","55,37","55,45","663,82M"
"30/01/2025","53,80","56,21","3,27","54,41","56,38","702,75M"
"29/01/2025","54,49","54,43","0,63","53,75","55,73","913,09M"
"28/01/2025","56,59","54,09","1,46","53,74","55,44","1,72B"
"27/01/2025","56,59","53,31","-7,88","52,80","56,73","1,15B"
"24/01/2025","56,44","57,87","1,08","56,83","57,90","465,32M"
"23/01/2025","56,02","57,25","1,44","56,35","57,26","496,88M"
"22/01/2025","54,91","56,44","1,46","55,58","56,48","421,85M"
"21/01/2025","54,11","55,63","0,91","54,64","55,96","295,40M"
"20/01/2025","54,11","55,13","1,77","53,90","55,30","109,40M"
"17/01/2025","54,13","54,17","0,93","53,37","54,17","378,97M"
"16/01/2025","53,59","53,67","-0,90","53,19","54,42","427,10M"
"15/01/2025","53,59","54,16","2,32","53,30","54,26","496,00M"
"14/01/2025","53,30","52,93","-0,60","52,57","53,59","469,36M"
"13/01/2025","53,39","53,25","-0,19","52,69","53,85","203,10M"
"10/01/2025","53,20","53,35","-1,73","52,87","54,47","507,17M"
"09/01/2025","52,77","54,29","2,03","53,20","54,45","528,83M"
"08/01/2025","52,80","53,21","-0,58","52,75","54,37","701,33M"
"07/01/2025","52,80","53,52","2,00","52,46","53,63","637,26M"
"06/01/2025","52,57","52,47","0,02","51,90","52,52","239,24M"
"03/01/2025","52,61","52,46","-0,49","52,26","53,10","439,29M"
"02/01/2025","53,69","52,72","-0,09","52,25","53,06","413,45M"
"30/12/2024","53,69","52,77","-1,70","52,73","53,95","163,44M"
"27/12/2024","54,24","53,68","-1,79","53,68","55,00","364,21M"
"26/12/2024","55,49","54,66","0,77","54,10","54,89","352,20M"
"23/12/2024","n/d","54,24","-2,22","54,22","55,49","166,01M"
"20/12/2024","57,44","55,47","-1,63","54,34","56,30","964,86M"
"19/12/2024","57,72","56,39","-1,16","56,37","58,59","1,00B"
"18/12/2024","57,64","57,05","-1,35","56,83","58,48","1,01B"
"17/12/2024","57,78","57,83","1,38","57,27","58,43","758,07M"
"16/12/2024","57,78","57,04","-0,95","57,04","58,10","233,86M"
"13/12/2024","57,73","57,59","-0,24","57,59","58,02","945,18M"
"12/12/2024","58,40","57,73","-1,28","57,06","58,03","1,12B"
"11/12/2024","56,93","58,48","2,94","56,66","59,75","602,14M"
"10/12/2024","55,53","56,81","2,03","55,85","57,24","568,03M"
"09/12/2024","55,53","55,68","0,27","55,35","55,90","210,42M"
"06/12/2024","55,10","55,53","1,22","54,69","55,77","581,41M"
"05/12/2024","54,48","54,86","-0,38","54,55","55,63","559,92M"
"04/12/2024","53,78","55,07","0,99","54,40","55,93","590,10M"
"03/12/2024","53,47","54,53","1,39","53,43","54,87","612,65M"
"02/12/2024","n/d","53,78","-0,17","53,14","54,27","305,31M"
"29/11/2024","52,68","53,87","2,43","53,45","54,22","766,37M"
"28/11/2024","51,84","52,59","1,06","51,47","53,52","670,04M"
"27/11/2024","52,86","52,04","-1,27","51,83","53,19","791,36M"
"26/11/2024","53,95","52,71","1,21","51,96","53,02","1,09B"
"25/11/2024","n/d","52,08","-3,44","52,01","54,13","430,64M"
"22/11/2024","53,67","53,94","0,35","53,56","54,19","595,24M"
"21/11/2024","53,92","53,75","-0,57","53,09","53,86","528,02M"
"19/11/2024","53,85","54,06","0,24","53,47","54,44","374,99M"
"18/11/2024","53,85","53,93","-0,64","53,52","54,24","161,05M"
